ZN,767872,38961,728911,8,4193,2748,1r85A;4tmaE;5m0tA;5r4qA;5zzuB;6xreA;7n9zG;7qg4A
CA,1643317,40601,1602716,6,3359,2031,1q8hA;4ylqL;7k72A
MG,2506839,30873,2475966,1,2439,2001,1vzmA
MN,261795,10036,251759,2,961,670,3rl3A;6qv4A
FE,38719,3970,34749,0,486,368,
CU,65770,3114,62656,1,325,225,6c40B
FE2,12612,1521,11091,0,184,156,
CO,142986,3386,139600,1,346,262,1rxtC
NA,80788,1702,79086,0,119,94,
CU1,4701,866,3835,0,127,64,
K,85930,1099,84831,0,86,63,
NI,8283,619,7664,0,67,55,
CD,11728,913,10815,0,109,53,
HG,4342,241,4101,0,30,20,